Roll = -2.646344, Pitch = -12.552698, Yaw = 169.459537
Roll = -2.646344, Pitch = -12.552698, Yaw = 169.459537
Roll = -2.967874, Pitch = -13.372172, Yaw = 169.690448
Roll = -2.967874, Pitch = -13.372172, Yaw = 169.690448
Roll = -3.306594, Pitch = -14.208563, Yaw = 169.948123
Roll = -3.306594, Pitch = -14.208563, Yaw = 169.948123
Roll = -3.659724, Pitch = -15.102730, Yaw = 170.248630
Roll = -3.659724, Pitch = -15.102730, Yaw = 170.248630
Roll = -4.023485, Pitch = -16.015887, Yaw = 170.585559
Roll = -4.023485, Pitch = -16.015887, Yaw = 170.585559
Roll = -4.414597, Pitch = -16.943133, Yaw = 170.960925
Roll = -4.414597, Pitch = -16.943133, Yaw = 170.960925
Roll = -4.842975, Pitch = -17.867955, Yaw = 171.365466
Roll = -4.842975, Pitch = -17.867955, Yaw = 171.365466
Roll = -5.294149, Pitch = -18.782294, Yaw = 171.791904
Roll = -5.294149, Pitch = -18.782294, Yaw = 171.791904
Roll = -5.751289, Pitch = -19.684210, Yaw = 172.230289
Roll = -5.751289, Pitch = -19.684210, Yaw = 172.230289
Roll = -6.210206, Pitch = -20.572661, Yaw = 172.658130
Roll = -6.210206, Pitch = -20.572661, Yaw = 172.658130
Roll = -6.656813, Pitch = -21.459902, Yaw = 173.069034
Roll = -6.656813, Pitch = -21.459902, Yaw = 173.069034
Roll = -7.061922, Pitch = -22.350079, Yaw = 173.415805
Roll = -7.061922, Pitch = -22.350079, Yaw = 173.415805
Roll = -7.409844, Pitch = -23.282097, Yaw = 173.662677
Roll = -7.409844, Pitch = -23.282097, Yaw = 173.662677
Roll = -7.715108, Pitch = -24.241690, Yaw = 173.839297
Roll = -7.715108, Pitch = -24.241690, Yaw = 173.839297
Roll = -7.989071, Pitch = -25.173611, Yaw = 173.975070
Roll = -7.989071, Pitch = -25.173611, Yaw = 173.975070
Roll = -8.245645, Pitch = -26.086556, Yaw = 174.108707
Roll = -8.245645, Pitch = -26.086556, Yaw = 174.108707
Roll = -8.477985, Pitch = -26.944169, Yaw = 174.231341
Roll = -8.477985, Pitch = -26.944169, Yaw = 174.231341
Roll = -8.685351, Pitch = -27.772189, Yaw = 174.330783
Roll = -8.685351, Pitch = -27.772189, Yaw = 174.330783
Roll = -8.871153, Pitch = -28.580050, Yaw = 174.403461
Roll = -8.871153, Pitch = -28.580050, Yaw = 174.403461
Roll = -9.045357, Pitch = -29.358721, Yaw = 174.466327
Roll = -9.045357, Pitch = -29.358721, Yaw = 174.466327
Roll = -9.212225, Pitch = -30.092736, Yaw = 174.509555
Roll = -9.212225, Pitch = -30.092736, Yaw = 174.509555
Roll = -9.385934, Pitch = -30.783309, Yaw = 174.521823
Roll = -9.385934, Pitch = -30.783309, Yaw = 174.521823
Roll = -9.554924, Pitch = -31.415709, Yaw = 174.485095
Roll = -9.554924, Pitch = -31.415709, Yaw = 174.485095
Roll = -9.707870, Pitch = -31.997675, Yaw = 174.389026
Roll = -9.707870, Pitch = -31.997675, Yaw = 174.389026
Roll = -9.835272, Pitch = -32.514515, Yaw = 174.245013
Roll = -9.835272, Pitch = -32.514515, Yaw = 174.245013
Roll = -9.923577, Pitch = -32.961091, Yaw = 174.107806
Roll = -9.923577, Pitch = -32.961091, Yaw = 174.107806
Roll = -9.916662, Pitch = -33.281849, Yaw = 173.932300
Roll = -9.916662, Pitch = -33.281849, Yaw = 173.932300
Roll = -9.809755, Pitch = -33.547143, Yaw = 173.697024
Roll = -9.809755, Pitch = -33.547143, Yaw = 173.697024
Roll = -9.689995, Pitch = -33.856240, Yaw = 173.407245
Roll = -9.689995, Pitch = -33.856240, Yaw = 173.407245
Roll = -9.574245, Pitch = -34.172700, Yaw = 173.074710
Roll = -9.574245, Pitch = -34.172700, Yaw = 173.074710
Roll = -9.436775, Pitch = -34.458626, Yaw = 172.684970
Roll = -9.436775, Pitch = -34.458626, Yaw = 172.684970
Roll = -9.259253, Pitch = -34.723855, Yaw = 172.234622
Roll = -9.259253, Pitch = -34.723855, Yaw = 172.234622
Roll = -9.101746, Pitch = -35.076813, Yaw = 171.743243
Roll = -9.101746, Pitch = -35.076813, Yaw = 171.743243
Roll = -8.934001, Pitch = -35.387375, Yaw = 171.162448
Roll = -8.934001, Pitch = -35.387375, Yaw = 171.162448
Roll = -8.784720, Pitch = -35.569195, Yaw = 170.538425
Roll = -8.784720, Pitch = -35.569195, Yaw = 170.538425
Roll = -8.611611, Pitch = -35.663251, Yaw = 169.939197
Roll = -8.611611, Pitch = -35.663251, Yaw = 169.939197
Roll = -8.429477, Pitch = -35.794472, Yaw = 169.351947
Roll = -8.429477, Pitch = -35.794472, Yaw = 169.351947
Roll = -8.271665, Pitch = -35.974602, Yaw = 168.772281
Roll = -8.271665, Pitch = -35.974602, Yaw = 168.772281
Roll = -8.147826, Pitch = -36.122689, Yaw = 168.249805
Roll = -8.147826, Pitch = -36.122689, Yaw = 168.249805
Roll = -8.126244, Pitch = -36.140065, Yaw = 167.777102
Roll = -8.126244, Pitch = -36.140065, Yaw = 167.777102
Roll = -8.146951, Pitch = -36.091805, Yaw = 167.290439
Roll = -8.146951, Pitch = -36.091805, Yaw = 167.290439
Roll = -8.162437, Pitch = -35.968575, Yaw = 166.718478
Roll = -8.162437, Pitch = -35.968575, Yaw = 166.718478
Roll = -8.169921, Pitch = -35.783822, Yaw = 166.100635
Roll = -8.169921, Pitch = -35.783822, Yaw = 166.100635
Roll = -8.189612, Pitch = -35.534814, Yaw = 165.493701
Roll = -8.189612, Pitch = -35.534814, Yaw = 165.493701
Roll = -8.230017, Pitch = -35.215302, Yaw = 164.899646
Roll = -8.230017, Pitch = -35.215302, Yaw = 164.899646
Roll = -8.310039, Pitch = -34.826573, Yaw = 164.297351
Roll = -8.310039, Pitch = -34.826573, Yaw = 164.297351
Roll = -8.450639, Pitch = -34.379468, Yaw = 163.722400
Roll = -8.450639, Pitch = -34.379468, Yaw = 163.722400
Roll = -8.683001, Pitch = -33.825337, Yaw = 163.146731
Roll = -8.683001, Pitch = -33.825337, Yaw = 163.146731
Roll = -9.011972, Pitch = -33.179444, Yaw = 162.545886
Roll = -9.011972, Pitch = -33.179444, Yaw = 162.545886
Roll = -9.418247, Pitch = -32.489483, Yaw = 161.959247
Roll = -9.418247, Pitch = -32.489483, Yaw = 161.959247
